_id,url,title,product_promotion,product_specs,current_price,color_options
666baeb49793e149fe7393b4,https://hoanghamobile.com/dien-thoai/nokia-3210-4g-chinh-hang,nokia 3210 4g - chính hãng,,"Công nghệ màn hình:
IPS<br> Kích thước màn hình:
2.4 inch<br> Độ phân giải:
2MP<br> Hệ điều hành:
S30+<br> Bộ nhớ trong:
128MB3<br> RAM:
64MB<br> Mạng di động:
2G, 3G, 4G, Hỗ trợ VoLTE2<br> Số khe SIM:
Hai SIM Nano SIM + Nano SIM<br> Dung lượng pin:
1450mAh<br>","1,590,000 ₫","['Màu Vàng', 'Xanh', 'Màu Đen']"
666baeb49793e149fe7393bc,https://hoanghamobile.com/dien-thoai-di-dong/samsung-galaxy-a05s-6gb-128gb-bh%C4%91t,samsung galaxy a05s - 6gb/128gb (bhđt),- Ưu đãi trả góp 0% qua Shinhan Finance hoặc Mirae Asset Finance<br>- Giảm 5% không giới hạn khuyến mãi qua Homepaylater<br>- Giảm thêm tới 700.000đ khi thanh toán qua Kredivo.<br>- Giảm 50% tối đa 700k khi mở thẻ tín dụng Vpbank trên SenID<br>- Giảm 20% tối đa 500k khi mở thẻ tín dụng TPBank EVO<br>- Mở thẻ tín dụng VIB - Nhận Voucher 600.000đ<br>- Giảm 1% tối đa 100.000đ  khi thanh toán qua Zalopay<br>,"Công nghệ màn hình:
PLS LCD, 90Hz<br> Độ phân giải:
FHD+ (2400 x 1080), 50MP (F1.8) AF, 2MP (F2.4), 2MP (F2.4), 13MP (F2.0)<br> Kích thước màn hình:
6.7 inch<br> Hệ điều hành:
One UI 5.1<br> Vi xử lý:
Qualcomm Snapdragon 680<br> Bộ nhớ trong:
128GB<br> RAM:
6GB<br> Dung lượng pin:
5000 mAh<br>","3,490,000 ₫","['Màu Đen', 'Xanh', 'Bạc']"
666baeb49793e149fe7393b8,https://hoanghamobile.com/dien-thoai/vivo-y03-4-64gb-chinh-hang,vivo y03 4/64gb- chính hãng,- Ưu đãi tặng Sim Mobifone Hera & Key bản quyền Office 365 A3 khi mua điện thoại tại Hoàng Hà Mobile (SL có hạn)<br>,"Công nghệ màn hình:
IPS LCD<br> Độ phân giải:
HD+ (720 x 1612 Pixels), Chính 13 MP & Phụ 0.08 MP, 5 MP<br> Kích thước màn hình:
6.56 inch<br> Hệ điều hành:
Funtouch OS 14.0<br> Vi xử lý:
Helio G85<br> RAM:
4 GB<br> Mạng di động:
Hỗ trợ 4G<br> Số khe SIM:
2 Nano SIM<br> Dung lượng pin:
5000 mAh<br>","2,790,000 ₫","['Màu Đen', 'Xanh']"
666baeb49793e149fe7393b5,https://hoanghamobile.com/dien-thoai/nokia-220-4g-chinh-hang,nokia 220 4g - chính hãng,,"Công nghệ màn hình:
Màn hình LCD<br> Kích thước màn hình:
2.8 inch<br> Hệ điều hành:
S30+<br> Vi xử lý:
Unisoc T107<br> Bộ nhớ trong:
128MB<br> RAM:
64MB |<br> Số khe SIM:
Hai SIM Nano SIM + Nano SIM<br> Dung lượng pin:
1450mAh<br>","990,000 ₫","['Màu Đen', 'Cam đào']"
666baeb49793e149fe7393b9,https://hoanghamobile.com/dien-thoai/xiaomi-redmi-12-4gb-128gb,điện thoại xiaomi redmi 12 4gb/128gb,- Ưu đãi trả góp 0% qua Shinhan Finance hoặc Mirae Asset Finance<br>- Giảm 5% không giới hạn khuyến mãi qua Homepaylater<br>- Giảm thêm tới 700.000đ khi thanh toán qua Kredivo.<br>- Giảm 50% tối đa 700k khi mở thẻ tín dụng Vpbank trên SenID<br>- Giảm 20% tối đa 500k khi mở thẻ tín dụng TPBank EVO<br>- Mở thẻ tín dụng VIB - Nhận Voucher 600.000đ<br>- Giảm 1% tối đa 100.000đ  khi thanh toán qua Zalopay<br>,"Độ phân giải:
Full HD<br> Cổng kết nối:
Type-C<br> Trọng lượng:
198.5g<br>","2,990,000 ₫","['Màu Đen', 'Bạc', 'Xanh Dương']"
666baeb49793e149fe7393bb,https://hoanghamobile.com/dien-thoai/infinix-note-40-pro-8gb-256gb,infinix note 40 pro 8gb/256gb - chính hãng,- Giảm 20% tối đa 500k khi mở thẻ tín dụng TPBank EVO<br>,"Công nghệ màn hình:
AMOLED<br> Độ phân giải:
FHD+ 1080*2436, 108MP(S5KHM6SX03-FGX9, 1/1.67 inch SENSOR,, 6P lens, F1.75, OIS+AF)OIS+2MP+2MP, 32MP (GC32E1-WA1XA, 1/3.1’’sensor,, 5P lens, F2.2, FF)<br> Kích thước màn hình:
6.78’’<br> Vi xử lý:
MediaTek Helio G99 Ultimate<br> Bộ nhớ trong:
256GB<br> RAM:
8GB<br> Mạng di động:
4G/3G/2G<br> Số khe SIM:
DUAL NANO SIM<br> Dung lượng pin:
5000mAh(TYP)<br>",Giá: Liên hệ,"['Đen Nham Thạch', 'Vàng Kim Quang', 'Xám Nano', 'Xanh Khổng Tước']"
666baeb49793e149fe7393ba,https://hoanghamobile.com/dien-thoai/poco-c65-8gb-256gb-chinh-hang,điện thoại poco c65 (8gb/256gb) - chính hãng,- Giảm 20% tối đa 500k khi mở thẻ tín dụng TPBank EVO<br>,"Công nghệ màn hình:
IPS LCD<br> Độ phân giải:
600 x 720 pixels (HD+), 50MP, f/1.8, 8MP, f/2.0<br> Kích thước màn hình:
6.74 inches<br> Hệ điều hành:
Hệ điều hành MIUI 14<br> Vi xử lý:
MediaTek Helio G85 processor<br> Bộ nhớ trong:
256GB<br> RAM:
8 GB<br> Dung lượng pin:
5000 mAh 18W<br>","2,990,000 ₫","['Xanh Dương', 'Màu Đen']"
666baeb49793e149fe7393b6,https://hoanghamobile.com/dien-thoai/xiaomi-redmi-12-8gb-128gb,điện thoại xiaomi redmi 12 8gb/128gb,- Ưu đãi trả góp 0% qua Shinhan Finance hoặc Mirae Asset Finance<br>- Giảm 5% không giới hạn khuyến mãi qua Homepaylater<br>- Giảm thêm tới 700.000đ khi thanh toán qua Kredivo.<br>- Giảm 50% tối đa 700k khi mở thẻ tín dụng Vpbank trên SenID<br>- Giảm 20% tối đa 500k khi mở thẻ tín dụng TPBank EVO<br>- Mở thẻ tín dụng VIB - Nhận Voucher 600.000đ<br>- Giảm 1% tối đa 100.000đ  khi thanh toán qua Zalopay<br>,"Độ phân giải:
Full HD, 2460 × 1080, 396ppi, Camera chính 50MP, - Khẩu độ f/1.8, Camera selfie 8MP, - f/2.1<br> Cổng kết nối:
Type-C<br> Trọng lượng:
198.5g<br> Công nghệ màn hình:
FHD+ LCD<br> Kích thước màn hình:
6.79 inch<br> Hệ điều hành:
MIUI 14 trên nền Android 13<br> Vi xử lý:
MediaTek Helio G88<br> Bộ nhớ trong:
128GB<br> RAM:
8GB<br> Số khe SIM:
SIM1 + Khe kết hợp (SIM hoặc thẻ microSD)<br> Dung lượng pin:
5,000mAh (typ)4<br>","3,490,000 ₫","['Bạc', 'Màu Đen', 'Xanh Dương']"
666baeb49793e149fe7393bd,https://hoanghamobile.com/dien-thoai/dien-thoai-tecno-camon-30-12-12gb-256gb,điện thoại tecno camon 30 (12+12gb/256gb) - chính hãng,- KM 1<br>- Tặng phiếu mua hàng 600.000đ.<br>- KM 2<br>- 12+1 tháng + Bao xài đổi trả trong 100 ngày<br>- KM 3<br>- 60 ngày bảo hành rơi vỡ màn hình. (Trung tâm bảo hành Digitek)<br>,"Công nghệ màn hình:
Amoled<br> Độ phân giải:
FHD+, 100MP* (OIS+EIS)+2MP+AI CAM, 50MP<br> Kích thước màn hình:
6.78 inch<br> Hệ điều hành:
HiOS 14/Android 14<br> Vi xử lý:
Helio G99 Ultimate (6nm)<br> Bộ nhớ trong:
256GB<br> RAM:
12GB + 12GB (RAM ảo)<br> Dung lượng pin:
5000 mAh<br>","6,390,000 ₫","['Đen Trời Đêm', 'Trắng núi tuyết', 'Nâu sa mạc']"
666baeb49793e149fe7393b7,https://hoanghamobile.com/dien-thoai/vivo-y18s-6-128gb-chinh-hang,vivo y18s 6/128gb- chính hãng,- Ưu đãi tặng Sim Mobifone Hera & Key bản quyền Office 365 A3 khi mua điện thoại tại Hoàng Hà Mobile (SL có hạn)<br>,"Công nghệ màn hình:
IPS LCD<br> Độ phân giải:
HD+ (720 x 1612 Pixels), Chính 50 MP & Phụ 0.08 MP, 8 MP<br> Kích thước màn hình:
6.56 inch<br> Hệ điều hành:
Funtouch OS 14<br> Vi xử lý:
Helio G85<br> Bộ nhớ trong:
128 GB<br> RAM:
6 GB<br> Mạng di động:
Hỗ trợ 4G<br> Số khe SIM:
2 Nano SIM<br> Dung lượng pin:
5000 mAh<br>","3,890,000 ₫","['Xanh', 'Nâu']"
